               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.049345,            0.012188,           0.0017481,             0.71617,             0.27778,             0.24292,            0.085928,            0.055577,           0.0077423,           0.0063147,            0.003268,            0.003268,            0.003268
                  36,            0.047002,            0.013528,           0.0015592,             0.74592,             0.33333,             0.27069,             0.11875,            0.051293,            0.007919,           0.0062733,             0.00307,             0.00307,             0.00307
                  37,            0.044554,            0.011981,           0.0013095,             0.82088,             0.41667,             0.33805,            0.090732,            0.054698,           0.0076812,           0.0062444,            0.002872,            0.002872,            0.002872
                  38,            0.045946,            0.012954,            0.001427,             0.78965,             0.36111,             0.26347,             0.08426,            0.054187,           0.0075966,           0.0062671,            0.002674,            0.002674,            0.002674
                  39,            0.045264,             0.01242,           0.0013616,             0.75897,             0.36111,             0.30669,            0.099417,            0.050822,           0.0076294,           0.0062533,            0.002476,            0.002476,            0.002476
                  40,            0.043749,            0.011129,           0.0012511,             0.81748,             0.36111,             0.33033,              0.1281,            0.047309,           0.0076609,           0.0062932,            0.002278,            0.002278,            0.002278
                  41,            0.042144,            0.010636,           0.0012421,             0.82352,             0.33333,             0.35752,             0.11711,            0.047471,           0.0076111,           0.0062684,             0.00208,             0.00208,             0.00208
                  42,            0.045006,            0.011936,           0.0011606,              0.8188,             0.30556,             0.31887,             0.11692,            0.047934,            0.007489,           0.0063343,            0.001882,            0.001882,            0.001882
                  43,            0.040698,            0.011053,           0.0011783,             0.86221,             0.30556,             0.36885,            0.099122,            0.048433,           0.0073047,           0.0064131,            0.001684,            0.001684,            0.001684
                  44,            0.043843,            0.011074,            0.001134,             0.90401,             0.33333,             0.38994,              0.1473,            0.047203,           0.0072872,           0.0064456,            0.001486,            0.001486,            0.001486
                  45,            0.041222,            0.014016,          0.00097691,             0.96343,             0.35246,             0.42335,             0.12443,            0.045559,           0.0072977,           0.0064416,            0.001288,            0.001288,            0.001288
                  46,            0.045455,             0.01179,            0.001085,              0.9328,             0.35798,             0.40256,             0.13741,            0.044725,           0.0072723,           0.0064356,             0.00109,             0.00109,             0.00109
                  47,            0.039828,            0.011008,          0.00088155,             0.96449,             0.36352,              0.4306,             0.13258,            0.045306,           0.0071799,           0.0065273,            0.000892,            0.000892,            0.000892
                  48,            0.038982,            0.010617,          0.00087918,             0.93642,             0.38168,             0.42293,             0.15519,             0.04414,           0.0072094,           0.0065366,            0.000694,            0.000694,            0.000694
                  49,            0.041651,            0.011757,          0.00087305,             0.91779,             0.38889,             0.42732,             0.14489,             0.04426,           0.0071841,           0.0065579,            0.000496,            0.000496,            0.000496
