               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.030836,            0.013238,           0.0035076,             0.70346,             0.66576,             0.73828,             0.48798,            0.029682,           0.0079794,           0.0024799,            0.006535,            0.006535,            0.006535
                  37,            0.030533,            0.012961,           0.0028845,             0.68581,             0.66759,             0.71701,             0.46628,            0.028484,            0.008382,           0.0022583,            0.006436,            0.006436,            0.006436
                  38,             0.02926,            0.012733,           0.0025016,             0.75143,             0.69214,             0.70708,             0.42703,            0.030471,           0.0079781,           0.0025113,            0.006337,            0.006337,            0.006337
                  39,            0.029486,            0.012293,           0.0025672,             0.79053,             0.65898,             0.71432,             0.46425,            0.032225,           0.0081851,           0.0031716,            0.006238,            0.006238,            0.006238
                  40,            0.029959,            0.013135,           0.0029155,              0.7671,             0.71394,             0.73841,             0.47745,            0.028501,            0.007714,           0.0009979,            0.006139,            0.006139,            0.006139
                  41,            0.027591,            0.012636,           0.0031413,             0.82464,             0.68497,             0.74628,             0.50044,            0.028808,           0.0074661,           0.0026504,             0.00604,             0.00604,             0.00604
                  42,            0.027639,            0.012985,            0.003142,              0.8058,              0.6707,             0.73266,             0.50017,            0.028057,           0.0077748,            0.001671,            0.005941,            0.005941,            0.005941
                  43,            0.028398,            0.012251,           0.0029744,             0.73399,             0.72718,             0.74618,             0.49679,            0.028767,           0.0081844,           0.0021843,            0.005842,            0.005842,            0.005842
                  44,            0.027725,            0.012295,            0.002543,             0.70415,             0.72021,              0.7113,             0.47596,            0.028791,           0.0085802,           0.0016002,            0.005743,            0.005743,            0.005743
                  45,            0.028382,            0.012704,           0.0032593,              0.7436,             0.67933,             0.71829,             0.46848,            0.032062,           0.0089695,           0.0030734,            0.005644,            0.005644,            0.005644
                  46,            0.026382,            0.012543,           0.0023998,             0.76219,             0.62427,             0.68881,             0.46086,            0.028094,           0.0092897,           0.0035775,            0.005545,            0.005545,            0.005545
                  47,            0.027496,            0.012501,           0.0024945,             0.69033,             0.70937,             0.70925,             0.49281,             0.02926,           0.0087509,           0.0040013,            0.005446,            0.005446,            0.005446
                  48,            0.027873,            0.012351,            0.003464,             0.70093,             0.71562,             0.71483,             0.46986,            0.029053,           0.0084151,           0.0027058,            0.005347,            0.005347,            0.005347
                  49,            0.026227,             0.01237,           0.0022655,             0.76615,             0.70908,             0.73436,              0.4971,            0.030972,           0.0082774,           0.0029249,            0.005248,            0.005248,            0.005248
                  50,            0.025476,            0.012052,           0.0020228,             0.80199,             0.66335,             0.70373,             0.48985,            0.032655,           0.0082173,           0.0038097,            0.005149,            0.005149,            0.005149
                  51,            0.026134,            0.012043,           0.0021249,             0.80485,             0.63698,             0.72836,             0.49562,            0.030374,           0.0083412,           0.0066324,             0.00505,             0.00505,             0.00505
                  52,            0.026119,            0.011711,           0.0020606,             0.69475,             0.68549,             0.70344,             0.47064,            0.031588,           0.0087276,           0.0031753,            0.004951,            0.004951,            0.004951
                  53,            0.026216,            0.011301,           0.0019233,             0.74624,             0.69888,             0.72809,             0.48627,            0.030052,           0.0080419,             0.00307,            0.004852,            0.004852,            0.004852
                  54,            0.026359,            0.011399,            0.002688,             0.70492,             0.75051,             0.74238,             0.48509,            0.029548,           0.0081875,           0.0040798,            0.004753,            0.004753,            0.004753
                  55,            0.025077,            0.011963,           0.0021837,             0.71602,             0.72287,             0.71772,             0.49862,            0.028959,           0.0085235,           0.0034836,            0.004654,            0.004654,            0.004654
                  56,            0.025601,            0.010566,           0.0018875,             0.77899,             0.66429,             0.73155,             0.49148,            0.028374,           0.0084343,           0.0016526,            0.004555,            0.004555,            0.004555
                  57,            0.023824,            0.011466,           0.0019253,              0.7883,             0.65434,             0.71487,             0.50114,            0.029171,            0.008886,           0.0036529,            0.004456,            0.004456,            0.004456
                  58,            0.024049,            0.011317,           0.0024417,             0.76282,             0.67252,             0.70066,             0.48198,             0.03149,           0.0088731,           0.0025119,            0.004357,            0.004357,            0.004357
                  59,            0.025375,            0.011371,           0.0024876,             0.79011,             0.70207,             0.72786,             0.51577,            0.031127,           0.0088423,           0.0024863,            0.004258,            0.004258,            0.004258
                  60,            0.025156,            0.010662,           0.0016451,             0.83648,             0.65675,             0.73438,              0.4817,            0.030465,           0.0085511,           0.0026742,            0.004159,            0.004159,            0.004159
                  61,            0.024783,            0.011278,           0.0024695,             0.77287,             0.65973,             0.71223,             0.48406,            0.029249,           0.0095174,           0.0018106,             0.00406,             0.00406,             0.00406
                  62,            0.023655,            0.010917,           0.0021497,             0.75462,             0.68943,             0.70484,              0.4893,            0.030138,           0.0090059,           0.0027526,            0.003961,            0.003961,            0.003961
                  63,            0.024315,            0.011147,           0.0020271,             0.81659,             0.68183,             0.72694,             0.51595,            0.030485,           0.0085503,           0.0023572,            0.003862,            0.003862,            0.003862
                  64,            0.023329,            0.010941,           0.0021591,             0.77637,             0.70837,             0.70596,             0.48634,            0.031276,           0.0096018,           0.0038526,            0.003763,            0.003763,            0.003763
                  65,            0.023627,            0.010729,           0.0023536,             0.77892,             0.67148,             0.70721,             0.48323,            0.030056,           0.0094671,           0.0034358,            0.003664,            0.003664,            0.003664
                  66,            0.023922,            0.010556,           0.0017048,              0.7514,             0.68751,             0.71987,             0.48456,            0.028083,           0.0089606,           0.0024404,            0.003565,            0.003565,            0.003565
                  67,            0.023656,            0.010815,            0.001692,             0.75105,             0.71835,             0.72773,             0.51608,            0.027323,            0.008787,           0.0020007,            0.003466,            0.003466,            0.003466
                  68,            0.023019,              0.0109,           0.0016868,             0.79182,             0.68415,             0.73523,             0.52179,            0.027428,           0.0089545,           0.0017534,            0.003367,            0.003367,            0.003367
                  69,            0.023037,            0.010487,           0.0017512,              0.8069,             0.69665,             0.72538,              0.5193,            0.028453,           0.0087522,           0.0026109,            0.003268,            0.003268,            0.003268
                  70,            0.022103,             0.01086,              0.0023,             0.74765,             0.70046,             0.72502,             0.52241,            0.028209,           0.0091216,           0.0030304,            0.003169,            0.003169,            0.003169
                  71,            0.021764,            0.010585,           0.0020388,             0.82429,             0.67509,             0.72421,             0.51642,            0.027345,           0.0090987,           0.0022631,             0.00307,             0.00307,             0.00307
                  72,            0.021791,            0.010082,           0.0015264,              0.7956,             0.68992,             0.71699,              0.5283,            0.027321,           0.0088048,           0.0019811,            0.002971,            0.002971,            0.002971
                  73,            0.022624,            0.010512,           0.0014917,             0.79168,              0.6339,             0.70719,             0.51597,            0.027671,           0.0091478,            0.001843,            0.002872,            0.002872,            0.002872
                  74,            0.021774,            0.010219,           0.0012203,              0.7749,             0.65391,             0.70622,             0.53337,            0.028051,            0.008808,           0.0023186,            0.002773,            0.002773,            0.002773
                  75,            0.022089,            0.010068,           0.0015231,             0.77532,             0.67753,             0.72457,              0.5297,            0.028089,           0.0090191,           0.0019211,            0.002674,            0.002674,            0.002674
                  76,            0.021142,            0.010049,           0.0017257,              0.7724,             0.67852,             0.71608,             0.53134,            0.028088,           0.0091076,           0.0018386,            0.002575,            0.002575,            0.002575
                  77,            0.021423,           0.0097654,           0.0016223,             0.78458,             0.65685,             0.71609,             0.51607,            0.030074,           0.0089831,           0.0021398,            0.002476,            0.002476,            0.002476
                  78,            0.022195,            0.010015,            0.001463,             0.77739,             0.69638,             0.73082,             0.51912,             0.03027,           0.0087832,           0.0022764,            0.002377,            0.002377,            0.002377
                  79,            0.021623,           0.0098673,           0.0016891,             0.82853,              0.6853,              0.7313,             0.53961,            0.030669,           0.0088121,           0.0025265,            0.002278,            0.002278,            0.002278
